Date (UTC);Quarter;ES;ES_DIR;ES_Open;NQ;NQ_DIR;NQ_Open;ZN;ZN_DIR;ZN_Open_dec;FGBM;FGBM_DIR;FGBM_Open;6E;6E_DIR;6E_OPEN
2025-10-22;q4-25;ESZ25;1;6778,25;;;;ZNZ25;-1;113,421875;;;;6UZ25;-1;1,16505
2025-10-23;q4-25;ESZ25;1;6881;;;;ZNZ25;1;113,1875;;;;6UZ25;1;1,16585
2025-10-26;q4-25;ESZ25;1;6914;;;;ZNZ25;1;113,515625;;;;6UZ25;1;1,16775
2025-10-27;q4-25;ESZ25;1;6929,25;;;;ZNZ25;1;113,484375;;;;6UZ25;1;1,16835
2025-10-28;q4-25;ESZ25;1;6906,5;;;;ZNZ25;1;112,796875;;;;6UZ25;1;1,16315
2025-10-29;q4-25;ESZ25;1;6897;;;;ZNZ25;1;112,6875;;;;6UZ25;1;1,15955
2025-10-30;q4-25;ESZ25;1;6878;;;;ZNZ25;-1;112,765625;;;;6UZ25;1;1,1562
2025-11-02;q4-25;ESZ25;1;6884;;;;ZNZ25;-1;112,640625;;;;6UZ25;1;1,1548
2025-11-03;q4-25;ESZ25;1;6801;;;;ZNZ25;-1;112,8125;;;;6UZ25;1;1,1509
2025-11-04;q4-25;ESZ25;1;6828,5;;;;ZNZ25;-1;112,3125;;;;6UZ25;1;1,15175
2025-11-05;q4-25;ESZ25;1;6763;;;;ZNZ25;-1;112,859375;;;;6UZ25;1;1,1568
2025-11-06;q4-25;ESZ25;1;6788;;;;ZNZ25;1;112,734375;;;;6UZ25;1;1,1586
2025-11-09;q4-25;ESZ25;1;6857,25;;;;ZNZ25;1;112,640625;;;;6UZ25;1;1,158
2025-11-10;q4-25;ESZ25;1;6874;;;;ZNZ25;1;113;;;;6UZ25;1;1,1605
2025-11-11;q4-25;ESZ25;1;6873,25;;;;ZNZ25;1;112,96875;;;;6UZ25;1;1,1612
2025-11-12;q4-25;ESZ25;1;6762,75;;;;ZNZ25;1;112,71875;;;;6UZ25;1;1,16535
2025-11-13;q4-25;ESZ25;1;6764,75;;;;ZNZ25;1;112,5;;;;6UZ25;1;1,16385
2025-11-16;q4-25;ESZ25;1;6696,5;;;;ZNZ25;1;112,5625;;;;6UZ25;1;1,16065
2025-11-17;q4-25;ESZ25;1;6630,75;;;;ZNZ25;1;112,84375;;;;6UZ25;1;1,1597
2025-11-18;q4-25;ESZ25;1;6697,5;;;;ZNZ25;1;112,640625;;;;6UZ25;1;1,1554
2025-11-19;q4-25;ESZ25;-1;6560;;;;ZNZ25;1;113,046875;;;;6UZ25;1;1,15665
2025-11-20;q4-25;ESZ25;1;6654,75;;;;ZNZ25;1;113,171875;;;;6UZ25;1;1,15295
2025-11-23;q4-25;ESZ25;1;6726,25;;;;ZNZ25;1;113,4375;;;;6UZ25;1;1,15355
2025-11-24;q4-25;ESZ25;1;6781;;;;ZNZ25;1;113,625;;;;6UZ25;1;1,1582
2025-11-25;q4-25;ESZ25;1;6830,25;;;;ZNZ25;-1;113,640625;;;;6UZ25;1;1,1604
2025-11-26;q4-25;ESZ25;1;6829;;;;ZNZ25;-1;113,59375;;;;6UZ25;1;1,1606
2025-11-27;q4-25;ESZ25;1;6854,75;;;;ZNZ25;-1;113,40625;;;;6UZ25;-1;1,1608
2025-11-30;q4-25;ESZ25;-1;6829;;;;ZNZ25;-1;112,953125;;;;6UZ25;1;1,1617
2025-12-01;q4-25;ESZ25;-1;6843;;;;ZNZ25;-1;113,015625;;;;6UZ25;1;1,1633
2025-12-02;q4-25;ESZ25;1;6866;;;;ZNZ25;-1;113,140625;;;;6UZ25;1;1,1677
2025-12-03;q4-25;ESZ25;1;6865,5;;;;ZNZ25;-1;112,90625;;;;6UZ25;1;1,1649
2025-12-04;q4-25;ESZ25;1;6883;;;;ZNZ25;-1;112,6875;;;;6UZ25;1;1,1648
2025-12-07;q4-25;ESZ25;1;6865;;;;ZNZ25;-1;112,40625;;;;6UZ25;1;1,16415
2025-12-08;q4-25;ESZ25;1;6847,25;;;;ZNZ25;-1;112,15625;;;;6UZ25;1;1,1629
2025-12-09;q4-25;ESZ25;-1;6887;;;;ZNZ25;-1;112,578125;;;;6UZ25;1;1,1698
2025-12-10;q4-25;ESZ25;-1;6914;;;;ZNZ25;-1;112,59375;;;;6UZ25;0;1,17385
2025-12-11;q4-25;ESZ25;-1;6831;;;;ZNZ25;-1;112,609375;;;;;;
2025-12-14;q4-25;ESZ25;-1;6825,25;;;;ZNZ25;-1;112,5625;;;;;;
2025-12-15;q4-25;ESZ25;-1;6796;;;;ZNZ25;-1;112,6875;;;;;;
2025-12-16;q4-25;ESZ25;0;6739,25;;;;ZNZ25;0;112,78125;;;;;;
2025-12-17;;;;;;;;;;;;;;;;
2025-12-18;;;;;;;;;;;;;;;;
2025-12-21;;;;;;;;;;;;;;;;
2025-12-22;;;;;;;;;;;;;;;;
2025-12-23;;;;;;;;;;;;;;;;
2025-12-24;;;;;;;;;;;;;;;;
2025-12-25;;;;;;;;;;;;;;;;
2025-12-28;q1-26;ESH26;1;6980,5;NQH26;-1;25863,25;ZNH26;1;112,578125;;;;6EH26;1;1,18175
